"Time","Events","ExG97","ExG98","ExG99","ExG100","ExG101","ExG102","ExG103","ExG104","ExG105","ExG106","ExG107","ExG108","ExG109","ExG110","ExG111","ExG112"
0:18:04.820,,5.422,9.346,-1.001,-4.267,3.694,2.437,-3.855,-1.921,-4.678,-4.151,-2.127,10.307,-6.893,3.635,-0.418,-5.661
0:18:04.821,,6.172,10.258,-1.018,-1.290,3.413,2.863,-6.419,-1.884,-4.527,-3.160,-2.237,11.679,-6.834,1.965,-3.064,-5.799
0:18:04.821,,5.297,10.990,-1.007,-1.254,4.271,1.456,-5.091,-1.760,-6.329,-2.293,-2.144,11.949,-5.019,1.323,-3.690,-6.829
0:18:04.822,,6.618,8.530,-0.926,0.433,3.881,-0.332,-3.269,-3.778,-5.445,-2.137,-4.135,8.488,-4.198,1.596,-1.129,-4.264
0:18:04.822,,6.623,8.802,-0.267,-1.119,1.133,-0.421,-5.491,-4.356,-2.664,-3.054,-2.303,11.063,-3.921,2.208,-1.390,-4.926
0:18:04.823,,5.922,8.085,-1.947,-2.432,2.337,1.594,-3.630,-3.151,-4.349,-3.280,-2.426,10.061,-2.197,3.465,-0.698,-7.246
0:18:04.823,,4.785,8.891,-0.810,-1.945,4.075,1.129,-2.694,-3.397,-5.864,-4.029,-0.100,5.662,-1.682,2.282,-0.681,-5.527
0:18:04.824,,5.939,6.443,-1.637,-1.085,2.795,-0.438,-2.404,-2.902,-5.747,-2.552,-1.727,7.817,-2.239,2.248,-0.388,-4.099
0:18:04.824,,4.443,6.572,1.383,-0.947,2.486,1.136,-3.087,-2.711,-6.137,-4.028,-3.332,10.733,-2.965,1.757,-1.945,-3.441
0:18:04.825,,3.737,7.562,-0.340,-1.543,2.945,0.341,-4.049,-0.618,-3.682,-3.230,-2.322,9.586,-2.878,0.511,-2.606,-3.431
0:18:04.825,,4.176,9.038,0.901,-0.131,2.133,0.381,-2.683,-1.169,-6.084,-2.608,-1.496,7.201,-3.863,1.409,-2.067,-5.049
0:18:04.826,,1.831,6.481,2.139,-1.475,2.681,-0.411,-4.092,-1.755,-4.521,-1.688,0.030,10.933,-4.187,2.242,-3.021,-5.147
0:18:04.826,,4.053,7.352,0.637,-0.217,3.138,1.232,-3.289,-3.976,-4.507,-2.942,-0.990,10.259,-5.714,2.198,-2.790,-4.357
0:18:04.827,,3.288,8.982,2.880,-0.290,3.273,-0.073,-2.852,-4.692,-4.428,-3.066,-0.481,7.518,-4.700,1.504,-3.260,-3.566
0:18:04.827,,2.751,7.794,1.470,-0.847,2.487,0.074,-2.954,-5.491,-4.467,-2.456,0.951,7.450,-2.852,1.752,-2.796,-2.918
0:18:04.828,,2.511,7.941,-0.524,-2.361,2.244,-0.091,-2.806,-4.654,-3.915,-1.780,0.138,8.491,-3.248,1.271,-0.671,-2.481
0:18:04.828,,3.142,7.549,0.915,-3.415,2.985,1.298,-5.303,-5.741,-3.046,-0.848,-0.923,10.334,-2.339,-0.709,-1.253,-2.560
0:18:04.829,,4.185,5.800,-0.560,-2.769,1.181,0.831,-5.263,-3.992,-2.392,-0.594,-1.234,9.592,-1.788,2.368,-1.345,-3.953
0:18:04.829,,2.599,7.629,-2.175,-2.082,-0.771,0.054,-4.055,-4.904,-2.480,-0.821,0.131,7.701,-0.709,3.510,-1.226,-2.473
0:18:04.830,,5.564,7.678,-1.165,-0.886,0.404,0.120,-6.451,-5.092,-4.402,-1.318,-2.226,6.764,0.619,4.225,-2.120,-1.757
0:18:04.830,,3.905,9.075,-1.307,-2.592,-0.881,-0.357,-6.680,-4.716,-2.730,-1.812,-1.010,7.990,0.185,3.303,-0.739,-1.708
0:18:04.831,,3.735,5.833,-0.867,-1.438,-2.495,-1.048,-4.848,-7.947,-3.239,-1.119,-0.654,8.019,1.520,4.271,0.807,-0.551
0:18:04.831,,3.432,2.900,-0.601,-0.953,-1.696,-1.168,-6.241,-6.266,-2.046,0.067,0.164,7.636,1.690,4.243,-1.238,0.078
0:18:04.832,,5.309,4.282,-0.130,-2.094,1.500,-2.330,-7.111,-5.142,-1.729,-1.208,-0.910,6.260,0.424,2.436,0.321,0.019
0:18:04.832,,4.323,5.530,-0.513,-2.170,0.292,0.065,-4.156,-6.134,-3.519,-1.894,0.956,6.272,-0.869,5.532,-1.217,-2.433
0:18:04.833,,1.994,6.278,1.372,-1.618,-2.764,0.307,-3.359,-4.981,-4.501,-1.547,1.148,7.793,0.611,3.982,-1.608,-3.188
